index;type;number;name;digit1;digit2;dimensions;surface;elevation;lat;lng;reference;region
154;LADH;2324;"DIRECCION AERONAUTICA PROV.
MISIONES";0;0;10X10;TIERRA;142 mts.;272210,00S;0555305,00W;0,2 Km al W de AEROPUERTO POSADAS, Provincia de MISIONES;DRNE
155;LADH;2325;POLICIA CAMINERA PUERTO ESPERANZA;0;0;10X10;TIERRA;200 mts.;260040,00S;0543503,00W;0,1 Km al E de POSADAS, Provincia de MISIONES;DRNE
156;LADH;2326;HOSPITAL SAMIC OBERA;0;0;15x15;TIERRA;200 mts.;272930,00S;0550839,00W;3 Km al E de OBERA, Provincia de MISIONES;DRNE
157;LADH;2327;HOSPITAL SAMIC EL DORADO;0;0;15x15;TIERRA;200 mts.;262413,00S;0543548,00W;1,5 Km al NE de ELDORADO, Provincia de MISIONES;DRNE
158;LADH;2328;SAN VICENTE CENTRO;0;0;15x15;TIERRA;600 mts.;265945,00S;0542851,00W;0,5 Km al S de SAN VICENTE, Provincia de MISIONES;DRNE
159;LADH;2329;EL CRUCE;0;0;15x15;TIERRA;160 mts.;275131,00S;0554213,00W;5 Km al NE de APOSTOLES, Provincia de MISIONES;DRNE
160;LADH;2330;LIGA IGUAZU;0;0;15x15;TIERRA;230 mts.;253622,00S;0543757,00W;0,5 Km al N de PUERTO IGUAZU, Provincia de MISIONES;DRNE
161;LAD;2332;PAMPA SUNI;01;19;1500x20;TIERRA;300 mts.;255844,00S;0640535,00W;24 Km al NE de LA FRAGUA, Provincia de SANTIAGO DEL ESTERO;DRNO
162;LAD;2335;SANTA IRENE;18;36;910x40;TIERRA;54 mts.;285123,00S;0583501,00W;11 Km al N de CHAVARRIA, Provincia de CORRIENTES;DRNE
163;LAD;2336;EA. LOS RODEOS;18;36;1000x30;TIERRA;113 mts.;275129,00S;0614900,00W;65 Km al WNW de QUIMILI, Provincia de SANTIAGO DEL ESTERO;DRNO
164;LAD;2337;ROVEY- JOVITA;18;36;790x40;TIERRA;153 mts.;343230,00S;0635630,00W;2 Km al SE de JOVITA, Provincia de CÓRDOBA;DRNO
165;LAD;2340;ISOARDI;01;19;650x20;TIERRA;121 mts.;324932,00S;0613305,00W;8 Km al SE de ARMSTRONG, Provincia de SANTA FE;DRCE
166;LADH;2341;JEFATURA DE POLICIA DE ENTRE RIOS;0;0;20x24;TIERRA;44 mts.;314348,00S;0602947,00W;7,4 Km al NNW de PARANA, Provincia de ENTRE RÍOS;DRCE
167;LAD;2342;CHANCANI;17;35;1160x40;TIERRA;339 mts.;312134,00S;0652906,00W;8 Km al N de CHANCANI, Provincia de CÓRDOBA;DRNO
168;LAD;2343;EA. LAS MATILDES;06;24;800x20;TIERRA;43 mts.;341158,00S;0593158,00W;9 Km al NW de SAN ANTONIO DE ARECO, Provincia de BUENOS AIRES;DRCE
169;LAD;2344;EA. EL CARACOL;14;32;800x25;TIERRA;245 mts.;374225,00S;0612540,00W;15 Km al NE de QUIÑIHUAL, Provincia de BUENOS AIRES;DRCE
170;LAD;2345;EMPREND.RURALES TECNOLOGICOS S.A.;04;22;800x25;TIERRA;108 mts.;361807,00S;0625157,00W;18 Km al NNE de JOSE MARIA BLANCO, Provincia de BUENOS AIRES;DRCE
171;LAD;2346;EA. LA PALOMA;13;31;1100x50;TIERRA;26 mts.;340018,00S;0592751,00W;10 Km al SW de ALSINA-BARADERO, Provincia de BUENOS AIRES;DRCE
172;LAD;2348;LA PALOMA;18;36;750x30;TIERRA;101 mts.;273854,00S;0614456,00W;12 Km al S de PARAJE LA PALOMA, Provincia de SANTIAGO DEL ESTERO;DRNO
173;LAD;2349;GANADERA SAN CARLOS;06;24;650x35;TIERRA;35 mts.;333507,00S;0594957,00W;18 Km al NW de SAN PEDRO, Provincia de BUENOS AIRES;DRCE
174;LAD;2350;EL REMANSO;04;22;550x30;TIERRA;54 mts.;344316,00S;0593921,00W;6,5 Km al NNE de SUIPACHA, Provincia de BUENOS AIRES;DRCE
175;LAD;2352;LOS CERROS;07;25;800x20;TIERRA;209 mts.;542025,00S;0675733,00W;60 Km al S de RÍO GRANDE, Provincia de TIERRA DEL FUEGO;DRSU
176;LADH;2353;CLARO DE LUNA;0;0;100x50;TIERRA;775 mts.;314900,00S;0643300,00W;19 Km al N de VILLA GRAL BELGRANO, Provincia de CÓRDOBA;DRNO
177;LAD;2356;CERRO VANGUARDIA;09;27;1500x30;TIERRA;177 mts.;482225,00S;0680622,00W;30 Km al NW de TRES CERROS, Provincia de SANTA CRUZ;DRSU
178;LAD;2357;EA. GLORIA A DIOS;11;29;1250x60;TIERRA;411 mts.;342856,00S;0653756,00W;86 Km al SSW de VILLA REYNOLDS, Provincia de SAN LUIS;DRNO
179;LAD;2359;EL DESIERTO;18;36;1200x30;TIERRA;150 mts.;262300,00S;0622200,00W;54 Km al NE de CAMPO GALLO, Provincia de SANTIAGO DEL ESTERO;DRNO
180;LADH;2360;HUERTA GRANDE - VILLAGE RESORT;0;0;100x70;TIERRA;1108 mts.;310324,00S;0642853,00W;1 Km al N de HUERTA GRANDE, Provincia de CÓRDOBA;DRNO
181;LAD;2361;EA. ITA-CUA;01;19;780x20;TIERRA;91 mts.;292526,00S;0580942,00W;5 Km al S de ESTACIÓN LOZA, Provincia de CORRIENTES;DRNE
182;LAD;2362;EA. SAN RAFAEL;05;23;650x25;TIERRA;70 mts.;295151,00S;0583239,00W;45 Km al NE de CURUZU CUATIA, Provincia de CORRIENTES;DRNE
183;LAD;2365;EA. LAS PENCAS;07;25;900x40;TIERRA;235 mts.;295121,00S;0632905,00W;10 Km al ENE de VILLA MARIA, Provincia de CÓRDOBA;DRNO
184;LAD;2366;EA. EL MANANTIAL DE SANTA MARIA;14;32;1000x35;TIERRA;245 mts.;370944,00S;0595703,00W;41 Km al S de AZUL, Provincia de BUENOS AIRES;DRCE
185;LAD;2367;EA. PASTIZALES;05;23;900x45;TIERRA;89 mts.;355300,00S;0623200,00W;5 Km al SSW de BERUTI, Provincia de BUENOS AIRES;DRCE
186;LAD;2368;EA. LOS OLIVOS;18;36;1000x30;TIERRA;85 mts.;355608,00S;0621731,00W;8 Km al S de JUAN JPASO -PEHUAJO-, Provincia de BUENOS AIRES;DRCE
187;LAD;2372;EA. LOS VENADOS;18;36;960x50;TIERRA;4 mts.;364603,00S;0564406,00W;10 Km al SW de MAR DE AJO, Provincia de BUENOS AIRES;DRCE
188;LAD;2373;EA. MOROTI;18;36;1150x30;TIERRA;238 mts.;342633,00S;0642839,00W;7 Km al S de DEL CAMPILLO -GRAL ROCA, Provincia de CÓRDOBA;DRCE
189;LAD;2375;LA PATERNA;01;19;750x25;TIERRA;66 mts.;315558,00S;0613351,00W;"7 Km al SE de SAN MARTIN DE LAS ESCOBAS,
Provincia de SANTA FE";DRNO
190;LADH;2377;HOSPITAL SANTA ROSA;0;0;15x18;TIERRA;58 mts.;304445,00S;0575859,00W;1 Km al N de CHAJARI, Provincia de ENTRE RÍOS;DRCE
191;LAD;2378;DALMACIO VELEZ;18;36;800x30;TIERRA;200 mts.;323715,00S;0633520,00W;2 Km al S de DALMACIO VELEZ , Provincia de CÓRDOBA;DRNO
192;LADH;2379;RIO CEBALLOS;0;0;30x30;TIERRA;690 mts.;310940,00S;0641930,00W;1 Km al SE de RÍO CEBALLOS, Provincia de CÓRDOBA;DRNO
193;LAD;2380;FIAMBALA;18;36;1900x20;ASFALTO;1680 mts.;273801,00S;0673758,00W;5 Km al NW de FIAMBALA - TINOGASTA, Provincia de CATAMARCA;DRNO
194;LAD;2381;ANTOFAGASTA DE LA SIERRA;04;22;2000x20;TIERRA;3300 mts.;260406,00S;0672412,00W;2,3 Km al SE de ANTOF DE LA SIERRA, Provincia de CATAMARCA;DRNO
195;LADH;2382;COMPLEJO PRO RACING;0;0;70x70;TIERRA;765 mts.;312520,00S;0642731,00W;5 Km al E de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
196;LAD;2385;ALONSO;07;25;700x20;TIERRA;55 mts.;355240,00S;0600440,00W;39 Km al SW de SALADILLO, Provincia de BUENOS AIRES;DRCE
197;LAD;2387;EO. LOMAS AZULES;05;23;800x23;TIERRA;39 mts.;395034,00S;0630331,00W;38 Km al W de VILLALONGA, Provincia de BUENOS AIRES;DRSU
198;LAD;2388;EA. CALEUFU;09;27;1000x30;TIERRA;687 mts.;402337,00S;0705741,00W;42 Km al SE de SAN MARTIN DE LOS ANDES, Provincia de NEUQUEN;DRCE
199;LAD;2392;EO. GUAYCURU;18;36;1600x20;TIERRA;75 mts.;283839,00S;0621609,00W;28 Km al N de BANDERA, Provincia de SANTIAGO DEL ESTERO;DRNO
200;LAD;2393;LOS GURISES;02;20;800x30;TIERRA;129 mts.;263838,00S;0612721,00W;25 Km al S de LOS FRENTONES, Provincia de CHACO;DRNE
201;LAD;2394;EA. LA AGUADA;09;27;800x20;TIERRA;153 mts.;450900,00S;0665400,00W;84 Km al NNE de VOR COM RIVADAVIA, Provincia de CHUBUT;DRSU
202;LADH;2396;HOTEL LA POSTA;0;0;100x70;TIERRA;2159 mts.;313633,00S;0645234,00W;18 Km al NE de MINA CLAVERO, Provincia de CÓRDOBA;DRNO
203;LAD;2397;EA. LOS AMIGOS;18;36;914x30;TIERRA;120 mts.;354843,00S;0613224,00W;30 Km al ENE de AD PEHUAJO - BELLOCQ, Provincia de BUENOS AIRES;DRCE
204;LAD;2398;ALBERTI;14;32;1000x30;TIERRA;47 mts.;350100,00S;0601500,00W;2 Km al E de ALBERTI, Provincia de BUENOS AIRES;DRCE
205;LAD;2399;EO. SAN ANDRES;04;22;750x30;TIERRA;118 mts.;370140,00S;0622229,00W;5 Km al ESE de GUAMINI, Provincia de BUENOS AIRES;DRCE
206;LAD;2400;EA. TORO CUARE;18;36;1400x100;TIERRA;68 mts.;283925,00S;0581613,00W;65 Km al N de MERCEDES, Provincia de CORRIENTES;DRNE
207;LAD;2401;LLAMBI CAMPELL;11;29;900x18;TIERRA;15 mts.;311100,00S;0604257,00W;3 Km al NE de LLAMBI CAMPBELL, Provincia de SANTA FE;DRCE
208;LAD;2403;HORIZONTE;01;19;1000x40;TIERRA;861 mts.;273642,00S;0611908,00W;2 Km al E de HERMOSO CAMPO, Provincia de CHACO;DRNE
209;LADH;2404;LAS HERITAS;0;0;100x100;TIERRA;861 mts.;315009,00S;0645843,00W;2 Km al S de LAS CALLES, Provincia de CÓRDOBA;DRNO
210;LAD;2405;PIRAYU;08;26;1150x30;TIERRA;83 mts.;284413,00S;0580435,00W;30 Km al NE de TACUARITAS, Provincia de CORRIENTES;DRNE
211;LAD;2406;SAN EDUARDO;18;36;1500x30;TIERRA;108 mts.;351036,00S;0625947,00W;15 Km al S de GRAL VILLEGAS, Provincia de BUENOS AIRES;DRCE
212;LAD;2407;EO. LAS MARGARITAS;17;35;800x18;TIERRA;100 mts.;380254,00S;0582039,00W;23 Km al S de BALCARCE, Provincia de BUENOS AIRES;DRCE
213;LADH;2408;VILLA LIA;0;0;18x15;TIERRA;38 mts.;340736,00S;0592452,00W;11 Km al N de SAN ANTONIO DE ARECO, Provincia de BUENOS AIRES;DRCE
214;LAD;2411;FINCA SANTA CLARA;16;34;1000x30;TIERRA;533 mts.;241734,00S;0644132,00W;"2 Km al W de SANTA CLARA, DPTO STA BARBARA,
Provincia de JUJUY";DRNO
215;LADH;2412;POTRERILLOS;0;0;50x50;TIERRA;540 mts.;313840,00S;0642921,00W;10 Km al W de ALTA GRACIA, Provincia de CÓRDOBA;DRNO
216;LADH;2413;LA LEJANIA;0;0;100x100;TIERRA;1035 mts.;314841,00S;0645550,00W;8 Km al E de NONO, Provincia de CÓRDOBA;DRNO
217;LAD;2414;FRANCISCO ROMERO;11;29;1100x29;TIERRA;145 mts.;332300,00S;0631954,00W;7 Km al NNW de LA CARLOTA, Provincia de CÓRDOBA;DRNO
218;LADH;2415;ARTURO SCOPIRANO;0;0;100x100;TIERRA;525 mts.;314827,00S;0643507,00W;23 Km al SW de ALTA GRACIA, Provincia de CÓRDOBA;DRNO
219;LADH;2416;FLAUMER;0;0;50x50;TIERRA;273 mts.;315457,00S;0634126,00W;1 Km al S de ONCATIVO, Provincia de CÓRDOBA;DRNO
220;LAD;2417;EA. LOS OMBUES;17;35;1380x40;TIERRA;5 mts.;322407,00S;0602407,00W;3 Km al N de RINCÓN DEL DOLL, Provincia de ENTRE RÍOS;DRCE
221;LAD;2419;EA. SANTA ANA;18;36;930x30;TIERRA;210 mts.;514046,00S;0715737,00W;20 Km al ESE de 28 DE NOVIEMBRE, Provincia de SANTA CRUZ;DRSU
222;LAD;2422;PALMERO;01;19;1000x50;TIERRA;116 mts.;310725,00S;0612946,00W;19 Km al N de RAFAELA, Provincia de SANTA FE;DRNO
223;LADH;2423;CARLOS PAZ;0;0;50x50;TIERRA;701 mts.;312422,00S;0643011,00W;2 Km al NNW de VILLA CARLOS PAZ, Provincia de CÓRDOBA;DRNO
224;LAD;2425;EO. DON PANCHO;01;19;1200x90;TIERRA;301 mts.;380721,00S;0612702,00W;17 Km al SSW de CORONEL PRINGLES, Provincia de BUENOS AIRES;DRCE
225;LAD;2426;MUNICIPALIDAD VILLA EL CHOCON;07;25;874x40;TIERRA;413 mts.;391558,00S;0684757,00W;1 Km al W de VILLA EL CHOCON, Provincia de NEUQUEN;DRCE
226;LAD;2427;EO. LAS DELICIAS;09;27;700x18;TIERRA;59 mts.;281248,00S;0595536,00W;12 Km al NNE de CAÑADA OMBU, Provincia de SANTA FE;DRNE
227;LAD;2428;EO. LOS TABANOS;09;27;1200x23;TIERRA;58 mts.;282712,00S;0595854,00W;15 Km al S de CAÑADA OMBU, Provincia de SANTA FE;DRNE
228;LAD;2429;MANGUSTA S.R.L.;18;36;900x40;TIERRA;155 mts.;343055,00S;0635647,00W;1 Km al N de JOVITA, Provincia de CÓRDOBA;DRNO
229;LAD;2430;LA INVERNADA;05;23;950x30;TIERRA;114 mts.;360317,00S;0620204,00W;30 Km al SSW de PEHUAJO, Provincia de BUENOS AIRES;DRCE
230;LAD;2431;TRES PROV. FORESTACIONES;01;19;800x50;TIERRA;600 mts.;333133,00S;0675704,00W;15 Km al NE de LAS CATITAS, Provincia de MENDOZA;DRNO
231;LAD;2432;CASTELLI (EX AD.);18;36;1000x23;TIERRA;109 mts.;255630,00S;0603730,00W;1 Km al NW de CASTELLI, Provincia de CHACO;DRNE
232;LAD;2433;SAN FRANCISCO  DEL CHAÑAR;18;36;1040x30;TIERRA;711 mts.;294552,00S;0635632,00W;"1 Km al N de MAJADILLA (SAN FRANCISCO DEL
CHAÑAR- DPTO), Provincia de CÓRDOBA";DRNO
233;LAD;2434;EO. SAN ANTONIO-BS.AS.;13;31;850x30;TIERRA;8 mts.;352943,00S;0574355,00W;27 Km al ENE de CHASCOMUS, Provincia de BUENOS AIRES;DRCE
234;LAD;2435;EA. ARGENTINAS;04;22;1800x30;TIERRA;110 mts.;350935,00S;0631553,00W;30 Km al SW de GENERAL VILLEGAS, Provincia de BUENOS AIRES;DRCE
235;LADH;2436;HOTEL GOLF ASCOCHINGA;0;0;50x50;TIERRA;753 mts.;305700,00S;0641700,00W;1 Km al S de ASCOCHINGA, Provincia de CÓRDOBA;DRNO
236;LAD;2437;OLIVEROS;11;29;750x30;TIERRA;24 mts.;323215,00S;0605130,00W;5 Km al N de OLIVEROS, Provincia de SANTA FE;DRCE
237;LAD;2438;EA. LAS CAÑAS;14;32;800x15;TIERRA;30 mts.;310114,00S;0601619,00W;21 Km al NW de HELVECIA, Provincia de SANTA FE;DRCE
238;LAD;2439;EO. SANTO DOMINGO;18;36;700x30;TIERRA;217 mts.;374825,00S;0602303,00W;9 Km al ENE de JUAN E BARRA, Provincia de BUENOS AIRES;DRCE
239;LAD;2440;EO. DON ATILIO;01;19;900x20;TIERRA;80 mts.;324728,00S;0612917,00W;11 Km al W de CAÑADA DE GOMEZ, Provincia de SANTA FE;DRCE
240;LAD;2443;EA. OSCURO;14;32;1000x20;TIERRA;52 mts.;291239,00S;0583143,00W;16 Km al NNE de PERUGORRIA, Provincia de CORRIENTES;DRNE
241;LAD;2445;QUEBRACHO HERRADO;06;24;1130x30;TIERRA;109 mts.;313402,00S;0621530,00W;2 Km al SW de QUEBRACHO HERRADO, Provincia de CÓRDOBA;DRNO
242;LAD;2446;EA. RINCON CHICO;09;27;800x20;TIERRA;55 mts.;424550,00S;0634353,00W;85 km Km al W de PENINSULA VALDES, Provincia de CHUBUT;DRSU
243;LADH;2447;HOWARD JHONSON;0;0;12x12;TIERRA;840 mts.;315936,90S;0643326,30W;1 Km al S de VILLA GRAL BELGRANO, Provincia de CÓRDOBA;DRNO
244;LAD;2448;LAS CHILCAS S.A;02;20;1000x30;TIERRA;417 mts.;300000,00S;0634500,00W;11 Km al NE de RAYO CORTADO, Provincia de CÓRDOBA;DRNO
245;LAD;2449;EA. LAVALLE;01;19;700x30;TIERRA;64 mts.;293738,00S;0574751,00W;31 Km al NE de CURUZU - CUATIA, Provincia de CORRIENTES;DRNE
246;LAD;2450;EA. PUESTO GRANDE;08;26;700x30;TIERRA;68 mts.;293319,00S;0574719,00W;37 Km al NE de CURUZU - CUATIA, Provincia de CORRIENTES;DRNE
247;LAD;2451;EA. SAN JOSE;01;19;800x30;TIERRA;65 mts.;310055,00S;0582404,00W;56 Km al NW de CONCORDIA, Provincia de ENTRE RÍOS;DRCE
248;LAD;2452;EL PAMPA;01;19;1400x40;TIERRA;84 mts.;285632,00S;0614254,00W;32 Km al NNE de TOSTADO, Provincia de SANTA FE;DRNO
249;LAD;2453;DON MUZI;18;36;840x20;TIERRA;246 mts.;313208,00S;0630841,00W;38 Km al E de VILLA DEL ROSARÍO, Provincia de CÓRDOBA;DRNO
250;LAD;2455;CALCHIN;18;36;900x25;TIERRA;253 mts.;314023,00S;0631059,00W;1 Km al S de CALCHIN, Provincia de CÓRDOBA;DRNO
251;LAD;2456;EO. LA ROSADA;01;19;1370x37;TIERRA;287 mts.;370737,00S;0644520,00W;22 Km al W de QUEHUE, Provincia de LA PAMPA;DRCE
252;LAD;2457;GRAL. JOSE DE SAN MARTIN;15;33;880x30;TIERRA;74 mts.;263100,00S;0592100,00W;1,5 Km al N de GRAL JOSE DE SAN MARTIN, Provincia de CHACO;DRNE
253;LAD;2458;EA. PASO ALSINA;12;30;1200x100;TIERRA;30 mts.;392622,00S;0631043,00W;43 Km al W de PEDRO LURO, Provincia de BUENOS AIRES;DRCE
254;LAD;2460;EL TREBOL;01;19;800x30;TIERRA;72 mts.;294933,00S;0582443,00W;34,6 Km al W de CURUZU CUATIA, Provincia de CORRIENTES;DRNE
255;LAD;2461;TIO PUJIO;06;24;1300x20;TIERRA;210 mts.;321950,00S;0632003,00W;5 Km al SSE de TIO PUJIO, Provincia de CÓRDOBA;DRNO
256;LAD;2462;LA PUERTA;03;21;800x20;TIERRA;128 mts.;305758,00S;0631821,00W;8 Km al SSW de PUERTA, Provincia de CÓRDOBA;DRNO
257;LAD;2463;EA. RINCON DEL SOCORRO;02;20;800x30;TIERRA;70 mts.;283850,00S;0572700,00W;"30 Km al WSW de CNIA CARLOS PELLEGRINI,
Provincia de CORRIENTES";DRNE
258;LAD;2464;EA. SANTA ELVIRA S.A.;05;23;1400x26;TIERRA;60 mts.;275302,00S;0584415,00W;10 Km al NE de EMPEDRADO, Provincia de CORRIENTES;DRNE
259;LAD;2465;EA. GUAYAIBI;04;22;600x20;TIERRA;64 mts.;280000,00S;0571800,00W;30 Km al E de SAN MIGUEL, Provincia de CORRIENTES;DRNE
260;LAD;2466;EA. SAN ALONSO;03;21;1400x30;TIERRA;60 mts.;281800,00S;0572710,00W;36 Km al SSE de SAN MIGUEL, Provincia de CORRIENTES;DRNE
261;LAD;2467;EA. SAN NICOLAS;03;21;700x15;TIERRA;64 mts.;280737,00S;0572603,00W;20 Km al SE de SAN MIGUEL, Provincia de CORRIENTES;DRNE
262;LAD;2468;EA. MONTE REY;18;36;450x15;TIERRA;69 mts.;275650,00S;0565224,00W;44 Km al SSW de ITUZAINGO, Provincia de CORRIENTES;DRNE
263;LAD;2469;EA. BATEL;09;27;800x30;TIERRA;60 mts.;285606,00S;0583942,00W;10 Km al WNW de CHAVARRIA, Provincia de CORRIENTES;DRNE
264;LAD;2470;EA. SAN IGNACIO;09;27;350x10;TIERRA;70 mts.;274908,00S;0565031,00W;30 Km al SW de ITUZAINGO, Provincia de CORRIENTES;DRNE
265;LAD;2471;EA. EL TRANSITO;14;32;700x30;TIERRA;61 mts.;282500,00S;0574200,00W;9 Km al E de CONCEPCION, Provincia de CORRIENTES;DRNE
266;LAD;2472;EA. LA CELINA;07;25;400x20;TIERRA;72 mts.;275900,00S;0572500,00W;15 Km al E de SAN MIGUEL, Provincia de CORRIENTES;DRNE
267;LAD;2473;EA. YAGUARETE;16;34;700x15;TIERRA;67 mts.;275608,00S;0570107,00W;50 Km al SW de ITUZAINGO, Provincia de CORRIENTES;DRNE
268;LAD;2474;SAN JOSE;11;29;800x30;TIERRA;88 mts.;282904,00S;0575618,00W;13 Km al SW de CONCEPCION, Provincia de CORRIENTES;DRNE
269;LAD;2475;LAGUNA DEL SOL;18;36;800x30;TIERRA;10 mts.;372800,00S;0572200,00W;7 Km al ENE de EST NAHUEL RUCA, Provincia de BUENOS AIRES;DRCE
270;LAD;2476;CAMPOS DE BURGOS;13;31;850x30;TIERRA;55 mts.;335758,00S;0595041,00W;10 Km al SSE de SANTA LUCIA, Provincia de BUENOS AIRES;DRCE
271;LAD;2477;EO. LOS RULOS;01;19;1168x23;TIERRA;80 mts.;285558,00S;0624737,00W;4 Km al NNE de CASARES, Provincia de SANTIAGO DEL ESTERO;DRNO
272;LAD;2478;LA GUADALOSA;18;36;850x30;TIERRA;168 mts.;333620,00S;0634613,00W;12 Km al ENE de MONTE DE LOS GAUCHOS, Provincia de CÓRDOBA;DRNO
273;LAD;2479;EA. SAN GABRIEL;13;31;820x30;TIERRA;270 mts.;373359,00S;0590825,00W;16 Km al SE  de AZUCENA, Provincia de BUENOS AIRES;DRCE
274;LAD;2480;EA. LA LEONOR;18;36;1000x30;TIERRA;97 mts.;351115,00S;0620953,00W;9 Km al SE  de PASTEUR, Provincia de BUENOS AIRES;DRCE
275;LAD;2481;NUEVO MILENIO;06;24;1200x30;TIERRA;94 mts.;253239,00S;0591154,00W;15 Km al ENE de PALO SANTO, Provincia de FORMOSA;DRNE
276;LAD;2482;CERRO PUITÁ;16;34;720x30;TIERRA;62 mts.;283714,00S;0580945,00W;37 Km al SW de CONCEPCION, Provincia de CORRIENTES;DRNE
277;LAD;2483;EA. DOS ABUELOS;16;34;900x50;TIERRA;96 mts.;351358,00S;0614119,00W;14 Km al NW de CNL MARTINEZ DE HOZ, Provincia de BUENOS AIRES;DRCE
278;LAD;2485;EA. EL EMBRUJO;03;21;1000x60;TIERRA;104 mts.;320559,00S;0622001,00W;23 Km al SSE de ALICIA, Provincia de CÓRDOBA;DRNO
279;LAD;2487;YUCHAN - FRANZINI;16;34;1000x30;TIERRA;1300 mts.;253412,00S;0662333,00W;1,5 Km al NW de YUCHAN, Provincia de SALTA;DRNO
280;LAD;2488;AMAICHA - FRANZINI;18;36;1220x40;TIERRA;2190 mts.;253412,00S;0662333,00W;17 Km al SW de MOLINOS, Provincia de SALTA;DRNO
281;LAD;2489;LAS LOMITAS-FORMOSA;18;36;1800x30;TIERRA;130 mts.;244300,00S;0603200,00W;15 Km al E de LAS LOMITAS, Provincia de FORMOSA;DRNE
282;LAD;2490;EL COLORADO;18;36;2100x30;TIERRA;76 mts.;261900,00S;0592000,00W;2,5 Km al W de EL COLORADO, Provincia de FORMOSA;DRNE
283;LAD;2491;EA. CAPI GUARI;12;30;800x35;TIERRA;86 mts.;291907,00S;0582127,00W;18 Km al W de SOLARI, Provincia de CORRIENTES;DRNE
284;LAD;2492;EA. 10 DE JULIO - LOS CISNES;04;22;950x60;TIERRA;170 mts.;332355,00S;0633004,00W;20 Km al E de ALEJENDRO, Provincia de CÓRDOBA;DRNO
285;LAD;2493;EA. EL CARMEN;01;19;1500x30;TIERRA;108 mts.;341131,00S;0620246,00W;2,5 Km al SW de CHRISTOPHERSEN, Provincia de SANTA FE;DRCE
286;LADH;2494;EO. LA FAVORITA - FAVEUR;0;0;50x50;TIERRA;18 mts.;351647,00S;0582733,00W;25 Km al SW de CORONEL BRANDSEN, Provincia de BUENOS AIRES;DRCE
287;LAD;2495;EA. TAJAMARES;17;35;750x24;TIERRA;55 mts.;323345,00S;0592829,00W;11 Km al W de GOBERNADOR MANSILLA, Provincia de ENTRE RÍOS;DRCE
288;LAD;2496;BANDERA NADAL;03;21;1000x25;TIERRA;290 mts.;285544,00S;0615908,00W;28 Km al SE de BANDERA, Provincia de SANTIAGO DEL ESTERO;DRNO
289;LAD;2497;EA. LOS CORRALITOS;18;36;1400x25;TIERRA;472 mts.;333300,00S;0650000,00W;5,5 Km al SE de CHAJAN, Provincia de CÓRDOBA;DRNO
290;LAD;2498;SAMPACHO / BRIDAROLI;18;36;260x30;TIERRA;431 mts.;332300,00S;0644207,00W;1 Km al S de SAMPACHO, Provincia de CÓRDOBA;DRNO
291;LAD;2499;AGROPECUARIA ORTIZ HERMANOS;17;35;686x30;TIERRA;21 mts.;383002,00S;0584124,00W;7 Km al NE de NECOCHEA, Provincia de BUENOS AIRES;DRCE
292;LAD;2501;FINCA EL ALGARROBAL;01;19;1180x30;TIERRA;390 mts.;250524,00S;0641035,00W;5,5 Km al NW de JOAQUIN V GONZALEZ, Provincia de SALTA;DRNO
293;LAD;2503;FINCA LOS DALMATAS;01;19;1500x15;TIERRA;300 mts.;243540,00S;0634058,00W;58 Km al ENE de LAS LAJITAS, Provincia de SALTA;DRNO
294;LADH;2504;SECCION AVIACION EJERCITO 2;0;0;20x20;TIERRA;71 mts.;314453,00S;0603225,00W;5 Km al W de PARANA, Provincia de ENTRE RÍOS;DRCE
295;LAD;2505;ITALO - FLORES;18;36;1190x20;TIERRA;146 mts.;344554,90S;0634746,80W;2,5 Km al N de ITALO, Provincia de CÓRDOBA;DRCE
296;LAD;2506;AGUA ESCONDIDA;18;36;1300x50;TIERRA;433 mts.;300805,00S;0634704,00W;5 Km al E de SANTA ELENA, Provincia de CÓRDOBA;DRCE
297;LAD;2507;COLONIA RIVADAVIA- EL PINGO;06;24;940x25;TIERRA;105 mts.;313643,20S;0600716,00W;6 Km al SW de GOBERNADOR RACEDO, Provincia de ENTRE RÍOS;DRCE
298;LAD;2508;EA. LA BLANCA;01;19;800x24;TIERRA;118 mts.;332918,00S;0623818,00W;10 Km al N de ALEJO LEDESMA, Provincia de CÓRDOBA;DRNO
299;LAD;2509;EA. EL MATE;03;21;950x25;TIERRA;300 mts.;362942,00S;0653318,00W;40 Km al S de TELEN, Provincia de LA PAMPA;DRCE
300;LAD;2510;LOS MOLLES - QUEIJO;18;36;1200x40;TIERRA;128 mts.;334130,00S;0622705,00W;6 Km al SW de ARIAS, Provincia de CÓRDOBA;DRNO
301;LAD;2511;EA. RINCON AMIGO;725;1,836;"650 x  20
750 x  20";TIERRA;250 mts.;510200,00S;0703000,00W;114 Km al NW de RÍO GALLEGOS, Provincia de SANTA CRUZ;DRSU
302;LAD;2512;RINCON DEL DIABLO;18;36;1100x35;TIERRA;104 mts.;284525,00S;0580219,00W;47 Km al N de MERCEDES, Provincia de CORRIENTES;DRNE
303;LAD;2513;EA. AÑA CUA;01;19;700x40;TIERRA;88 mts.;282610,00S;0582439,00W;18 Km al SW de TABAY, Provincia de CORRIENTES;DRNE
304;LAD;2514;EA. IBERA;02;20;800x20;TIERRA;85 mts.;283313,00S;0571202,00W;3 Km al SW de CARLOS PELLEGRINI, Provincia de CORRIENTES;DRNE
